Price,zmw_usd,log_return
Ticker,ZMW=X,
Date,,
06/03/2015,6.934800148010254,0.001515243554579877
09/03/2015,6.953700065612793,0.0027216659795571358
10/03/2015,6.962399959564209,0.0012503352331590036
11/03/2015,7.072400093078613,0.01567566129719187
12/03/2015,7.211599826812744,0.019490918688191885
13/03/2015,7.21560001373291,0.0005545340837978577
16/03/2015,7.284599781036377,0.009517149982808044
17/03/2015,7.313799858093262,0.004000454395136438
18/03/2015,7.381400108337402,0.009200382062795385
19/03/2015,7.466000080108643,0.011396054026835118
20/03/2015,7.724599838256836,0.034050629347010065
23/03/2015,7.657299995422363,-0.00875058
24/03/2015,7.620800018310547,-0.004778087
25/03/2015,7.620800018310547,0
26/03/2015,7.642600059509277,0.0028565137401903697
27/03/2015,7.512199878692627,-0.017209518
30/03/2015,7.5345001220703125,0.002964139605930395
31/03/2015,7.5381999015808105,0.0004909245959913545
01/04/2015,7.543300151824951,0.000676358508173522
02/04/2015,7.582099914550781,0.005130422687709011
03/04/2015,7.486700057983398,-0.012662074
06/04/2015,7.489500045776367,0.0003739250018288299
07/04/2015,7.4197998046875,-0.009349969
08/04/2015,7.451499938964844,0.004263269900749339
09/04/2015,7.21999979019165,-0.031560422
10/04/2015,7.394199848175049,0.02384096472885368
13/04/2015,7.259099960327148,-0.01844004
14/04/2015,7.182000160217285,-0.010677931
15/04/2015,7.184599876403809,0.0003619111283493232
16/04/2015,7.277500152587891,0.012847588364304897
17/04/2015,7.316100120544434,0.005289997978489889
20/04/2015,7.3491997718811035,0.004514017140272889
21/04/2015,7.393499851226807,0.006009782985765376
22/04/2015,7.3144001960754395,-0.010756181
23/04/2015,7.3018999099731445,-0.001710459
24/04/2015,7.3028998374938965,0.00013693135676004427
27/04/2015,7.361499786376953,0.007992180015292595
28/04/2015,7.398900032043457,0.005067657538641366
29/04/2015,7.406000137329102,0.0009591561913619006
30/04/2015,7.365900039672852,-0.005429254
01/05/2015,7.416800022125244,0.006886452866245907
04/05/2015,7.396500110626221,-0.00274077
05/05/2015,7.370699882507324,-0.003494265
06/05/2015,7.353700160980225,-0.002309056
07/05/2015,7.273499965667725,-0.010966008
08/05/2015,7.326700210571289,0.007287637116623114
11/05/2015,7.300600051879883,-0.003568695
12/05/2015,7.316199779510498,0.0021344936967520023
13/05/2015,7.309700012207031,-0.000888802
14/05/2015,7.274600028991699,-0.004813402
15/05/2015,7.224599838256836,-0.006896986
18/05/2015,7.185400009155273,-0.005440656
